scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
optimumWash_who030718_v2,cases_cf,2022,831619.5392543757,831802.6376687739,821481.0212635951,845995.7059619576,optimumWash
optimumWash_who030718_v2,cases_cf,2023,1012639.9283109909,1012857.2536577894,1000276.076034738,1030145.2460572321,optimumWash
optimumWash_who030718_v2,cases_cf,2024,1198898.7156558158,1199149.294450664,1184238.7129504702,1219623.7021479916,optimumWash
optimumWash_who030718_v2,cases_cf,2025,1390550.2133865403,1390832.989616239,1373520.9919993884,1414588.058208133,optimumWash
optimumWash_who030718_v2,cases_cf,2026,1587753.366927485,1588067.1977573163,1568279.534341074,1615200.011677191,optimumWash
optimumWash_who030718_v2,cases_cf,2027,1790671.897320488,1791015.5490049645,1768675.6625111275,1821626.1184824223,optimumWash
optimumWash_who030718_v2,cases_cf,2028,1999474.448443628,1999846.5917514763,1974875.5451158418,2034037.942449987,optimumWash
optimumWash_who030718_v2,cases_cf,2029,2214334.735712976,2214733.941883201,2187050.3444604203,2252612.2070992687,optimumWash
optimumWash_who030718_v2,cases_cf,2030,2435428.5658256905,2435856.4397990857,2405376.3695854326,2477530.9565743697,optimumWash
optimumWash_who030718_v2,cases_cf,2031,2662936.2161439583,2663398.31011138,2630024.9503544476,2708981.716347921,optimumWash
optimumWash_who030718_v2,cases_cf,2032,2897052.845427072,2897549.326240151,2861191.1691327007,2947157.6623320435,optimumWash
optimumWash_who030718_v2,cases_cf,2033,3137973.950098701,3138504.9814716564,3099067.875654121,3192257.796029497,optimumWash
optimumWash_who030718_v2,cases_cf,2034,3385900.923090092,3386466.665650745,3343853.4665057096,3444487.1227491754,optimumWash
optimumWash_who030718_v2,cases_cf,2035,3641041.234100014,3641641.8450508015,3595752.318175677,3704056.8349867323,optimumWash
optimumWash_who030718_v2,casesAverted,2018,5231.052335056413,5251.994841788354,4992.0094670145845,5453.262697396006,optimumWash
optimumWash_who030718_v2,casesAverted,2019,18824.844911360975,18376.23252937654,16581.77592860847,19216.735268453518,optimumWash
optimumWash_who030718_v2,casesAverted,2020,29846.965429533826,29360.972706241635,27167.820745803263,30400.394586457354,optimumWash
optimumWash_who030718_v2,casesAverted,2021,41716.33750033241,41360.24084090262,38823.049003547145,42949.09104735042,optimumWash
optimumWash_who030718_v2,casesAverted,2022,59768.43744376148,59075.23325381635,54798.9101304643,61641.91132267276,optimumWash
optimumWash_who030718_v2,casesAverted,2023,75065.8970935736,74185.59747783044,69013.64571336539,77173.82245111528,optimumWash
optimumWash_who030718_v2,casesAverted,2024,88756.84776425341,88150.40104465882,82836.09982230132,91809.62481349817,optimumWash
optimumWash_who030718_v2,casesAverted,2025,110053.65312764616,108987.7744614976,101445.90966173919,113847.62043700978,optimumWash
optimumWash_who030718_v2,casesAverted,2026,128643.9959796766,127165.37930132652,118522.77144657218,132081.20639237337,optimumWash
optimumWash_who030718_v2,casesAverted,2027,145193.21044871502,143806.38918691728,134996.16860452338,149028.0174891401,optimumWash
optimumWash_who030718_v2,casesAverted,2028,170113.79774222084,168135.08487844857,156970.09681633534,174436.38382730496,optimumWash
optimumWash_who030718_v2,casesAverted,2029,191644.79204124562,189203.94777864282,176804.83379524204,195628.59688947015,optimumWash
optimumWash_who030718_v2,casesAverted,2030,210486.29276736605,208116.01493896608,195495.2106082998,214803.71787225775,optimumWash
optimumWash_who030718_v2,casesAverted,2031,224733.72586131404,222399.01972391442,209326.39569900022,229632.05115340528,optimumWash
optimumWash_who030718_v2,casesAverted,2032,231956.94791995006,229648.70481241823,216394.92785592107,237090.74538218832,optimumWash
optimumWash_who030718_v2,casesAverted,2033,234885.55681325687,232667.53667985956,219535.70069078874,240224.76715995325,optimumWash
optimumWash_who030718_v2,casesAverted,2034,236306.37574144127,234105.9218784084,220917.74197142784,241805.10039567295,optimumWash
optimumWash_who030718_v2,casesAverted,2035,236306.37564059073,234105.9218990376,220917.74185121647,241805.10029033583,optimumWash
optimumWash_who030718_v2,dalysAverted,2018,3845.5353130773033,3858.200655979414,3667.236242059057,4004.52643370334,optimumWash
optimumWash_who030718_v2,dalysAverted,2019,13443.161000647611,13133.463381918673,11880.070159965602,13727.660859758405,optimumWash
optimumWash_who030718_v2,dalysAverted,2020,21424.93049323325,21095.348772026424,19550.12797295299,21821.53931736405,optimumWash
optimumWash_who030718_v2,dalysAverted,2021,30876.63532939213,30650.65156068628,28894.649913994344,31753.499069287795,optimumWash
optimumWash_who030718_v2,dalysAverted,2022,45347.39775269744,44830.47303153615,41711.27535083984,46644.10211417753,optimumWash
optimumWash_who030718_v2,dalysAverted,2023,57861.67854443482,57209.0815528708,53444.4943425652,59312.993684766094,optimumWash
optimumWash_who030718_v2,dalysAverted,2024,68876.97965422973,68440.94418412313,64630.60092467741,70935.47302018161,optimumWash
optimumWash_who030718_v2,dalysAverted,2025,86203.69988302504,85345.03973599985,79676.72328827622,88732.83493347719,optimumWash
optimumWash_who030718_v2,dalysAverted,2026,102512.51084173276,101262.53386065198,94501.04434914279,104836.16038405488,optimumWash
optimumWash_who030718_v2,dalysAverted,2027,116614.10385246575,115417.26013540504,108426.54105222685,119273.2623292743,optimumWash
optimumWash_who030718_v2,dalysAverted,2028,137933.53890950655,136159.0611458709,126930.76391406768,141088.28060618683,optimumWash
